9606	0.0	1.0	5.9643	10	40	8.0	0.923	8	9.99e-16
9606	0.0	1.0	8.5714	9	32	7.11	0.915	2	0.0
9606	0.0	1.0	6.8333	10	25	5.0	0.916	4	1.48e-13
9606	0.0	1.0	7.2143	10	30	6.0	0.742	6	6.12e-13
9606	0.0	1.0	7.0595	8	22	5.5	0.898	2	6.66e-16
9606	0.0	1.0	5.6429	10	34	6.8	0.927	4	0.0
9606	0.0	1.0	6.3571	10	27	5.4	0.795	2	0.0
9606	0.0	1.0	7.7619	10	30	6.0	0.857	3	0.0
9606	0.0	1.0	7.7857	10	34	6.8	0.917	3	0.0
9606	0.0	1.0	7.3571	10	40	8.0	0.944	4	0.0
9606	0.0	1.0	6.8572	10	45	9.0	1.0	6	0.0
9606	0.0	1.0	7.3333	10	23	4.6	0.754	3	9.2e-13
9606	0.0	1.0	7.4206	10	30	6.0	0.821	3	0.0
9606	0.0	1.0	6.3571	10	41	8.2	0.944	3	0.0
9606	0.0	1.0	6.1944	10	33	6.6	0.9	3	0.0
9606	0.0	1.0	6.9762	10	45	9.0	1.0	6	0.0
9606	0.0	1.0	6.1857	10	37	7.4	0.892	3	0.0
9606	0.0	1.0	7.7143	10	39	7.8	0.921	3	0.0
9606	0.0	1.0	6.7725	9	28	6.22	0.878	3	0.0
9606	0.0	1.0	6.3571	10	35	7.0	0.875	3	0.0
9606	0.0	1.0	6.8016	9	36	8.0	1.0	3	0.0
9606	0.0	1.0	6.5714	9	36	8.0	1.0	3	0.0
9606	0.0	1.0	5.8571	10	35	7.0	0.912	4	0.0
9606	0.0	1.0	7.7857	10	27	5.4	0.79	3	0.0
9606	0.0	1.0	5.9286	10	36	7.2	0.901	4	0.0
9606	0.0	1.0	7.9762	8	25	6.25	0.929	2	0.0
9606	0.0	1.0	7.1667	10	32	6.4	0.884	3	0.0
9606	0.0	1.0	6.8691	10	28	5.6	0.843	5	1.3e-13
9606	0.0	1.0	5.8439	9	30	6.67	0.952	5	1.48e-13
9606	0.0	1.0	7.8571	10	39	7.8	0.923	6	0.0
9606	0.0	1.0	6.8572	10	28	5.6	0.867	3	0.0
9606	0.0	1.0	6.2619	10	44	8.8	0.978	4	0.0
9606	0.0	1.0	6.4921	9	36	8.0	1.0	5	0.0
9606	0.0	1.0	7.3810	9	27	6.0	0.857	5	4.43e-12
9606	0.0	1.0	7.3452	8	14	3.5	0.725	1	1.06e-10
9606	0.0	1.0	7.2619	10	28	5.6	0.8	4	4.44e-16
9606	0.0	1.0	7.0714	10	28	5.6	0.8	3	0.0
9606	0.0	1.0	7.8286	10	35	7.0	0.937	3	0.0
9606	0.0	1.0	7.1905	10	27	5.4	0.771	3	1.11e-16
9606	0.0	1.0	6.6905	10	45	9.0	1.0	4	0.0
9606	0.0	1.0	5.4034	10	21	4.2	0.717	3	4.61e-11
9606	0.0	1.0	6.3810	9	29	6.44	0.869	2	0.0
9606	0.0	1.0	7.4286	10	35	7.0	0.877	3	0.0
9606	0.0	1.0	5.1164	9	27	6.0	0.88	2	0.0
9606	0.0	1.0	5.3810	10	27	5.4	0.694	3	2.22e-16
9606	0.0	1.0	6.0714	9	28	6.22	0.884	3	0.0
9606	0.0	1.0	7.0119	9	23	5.11	0.836	2	1.11e-16
