C35C5.1
M03F8.5
Y39A3CR.1a
T23F2.2b
Y39A1A.9
F46F6.4a
D1037.1
EEED8.14
H43E16.1
T19D12.1
T19D12.2a.2
T19D12.3
C18D1.4
C05G5.5a
Y75B8A.12
K10G9.3b
F45E10.1c
ZK1248.19
F54B3.1a
C35E7.4
C35E7.5a
F41E6.11
F42G2.6
F20D12.3
M03A8.1
C26C6.8
Y71F9B.10a
C15H9.1
Y41E3.1a
C29E4.10
H04M03.4
B0507.3a
C08G5.1
R06B10.2
R155.2
T20H9.6
Y22D7AR.2
Y9C12A.1
ZK563.2
Y55F3BR.8a
W03G1.5
F59A6.3
T28H11.1
ZC477.1
ZK643.8a
K07B1.7b
Y37E3.1
F28D1.3
F28D1.4
F28D1.5
F49A5.6
ZK863.9
C27H2.2a
ZK1058.1
H14E04.2c
C31H5.6a.1
K05B2.4
T05E7.1
W03D8.8
Y37D8A.25
C25F9.2
E01G4.5
K09F6.10
F59G1.4
ZK328.7a
Y48E1B.5
Y45F10D.11a
F30B5.11
Y47G6A.4
C54D2.1
F14F7.5
T20B6.1
T20B6.2
T26A8.1.3
Y40B1A.3b
ZC449.5
B0416.1
T13G4.3
Y38E10A.17
M01B2.10
M01B2.12
M01B2.13
T10H4.13
T10H4.4
Y92H12BR.7
C37A2.2
C27H5.4a
F10E7.3
F28B3.5a
W02A2.1
Y67H2A.8
C01G10.7
K07A1.3
F54A5.1
F40E10.3
Y75B8A.8
K08E3.1
M04B2.1
Y55F3AM.10
F49C12.6
R144.6
T19A6.4
W02D3.4.1
W06A7.4a
T02G5.13a
R01H10.6
F35D2.6
T27F7.2a
Y63D3A.5.2
Y92H12BM.1
Y51H4A.7.1
C01G5.4
C09B9.7
F54F12.1
H06I04.5
M162.7
W03F11.4
Y113G7C.1
Y116A8C.33
Y39B6A.18
Y39B6A.30
Y51A2B.6
Y69A2AR.19a
Y80D3A.8
F08B6.4a.1
F55C5.11
T13H2.4a
Y71G12B.9a
C32A3.3a.3
W09H1.3
C25G4.10a
T04A11.3
B0416.3
F16B4.3
T07F8.1
Y20F4.5
Y48G1BM.6
Y54G2A.21.1
C14C11.3
Y39A1C.4
Y51F10.5
Y70D2A.2
Y55F3C.7b
C02C2.1
C34G6.2
F21C3.2
Y73B6BL.1
M04F3.5
Y87G2A.15
F40B5.2a
T23G7.2a.1
K03H1.13a
F15B9.5a
Y44E3B.2
Y18D10A.1
F56F3.1
C29F5.1
F32B5.7.1
ZK1098.6
C54H2.1a
C34F6.10
C32A3.1a
T21B6.3
F41A4.1
F30B5.4b
F39H12.2
Y43E12A.2
F36A2.3
VF13D12L.3
C07B5.4a
Y111B2A.4a
C15C8.2b
K04F10.2
Y18D10A.8
D1073.1b
F07C3.3
F15H10.7
C12D8.5
B0491.3
C27H6.4b
F36H12.11
R13H9.1
T05G5.7a
T23B3.3
Y105E8A.5
T21C9.6
C18H9.8
ZK770.3.1
C26E6.11
Y45F10A.7a
F59E12.9
H17B01.2
Y51H7C.1
Y51H7C.13
R03H10.2
F32A6.2
F59B8.1a.2
F31F6.7
F58G1.5
R06B9.6
M04B2.2
C05D2.8
M70.4a
Y73B3A.3
C44B7.4
M88.2
F11F1.4
F11F1.5
F11F1.8
T02B11.10
ZK180.5a
F53F10.1
F33H2.6
F13D12.9.1
F38B7.3
ZC376.6b
C53D5.1a
C09G5.8a
Y48A6C.6
F23F12.8
F18A1.6b.1
Y71G12B.16
F25C8.3d
C04B4.3
F10F2.3
F45E6.4
K12B6.3
T01C3.4
T12A7.4d
R144.5
R12H7.1
Y48E1B.1
C32A3.2
F09B12.5
T04H1.6
ZK1067.4
F52H3.3
K08E4.7
Y54F10AM.11
Y59E9AL.8
Y75B12B.4
Y54F10AM.2a
F54G2.2
Y116A8C.10b.1
T18H9.5a
W04D2.3b
F53B3.5
C33E10.6
H12I13.3
ZC53.4
F59A2.6
T06E4.1
ZK1055.1
T06D8.9.2
Y55D5A.3
K10C3.4a
F58H1.7a
C53B4.3.1
C06B8.7
F31C3.6a
C16B8.3
ZK84.1
E03H4.4
F02C9.2
F46F5.11
F56A4.6
F56H6.7
F56H6.9
T15B7.10
T15B7.17
T15B7.8
Y45G12C.11
ZK105.3
B0432.7
C04G2.9
C38C3.8
K08F8.5b
Y59E9AL.2
Y59E9AL.3
Y69E1A.2
ZK546.7
T18D3.1
C10E2.2.2
F31D4.5a
C35B8.3b
B0464.4.1
C04F5.8
ZK546.1b
C23G10.8.1
K11G12.6b
C55B7.2
C47E12.6a
F33G12.6a
F44E5.15
F01G4.4b
F41H10.4
T22C8.2
F32B4.8
Y106G6H.14
C25D7.3
C16E9.4a
F15B9.10a
F40F11.2
T02C5.3b
M28.7
B0303.4.2
F09B12.1a
Y71H2AM.15a
F13E9.13
ZC374.2
C15A11.4
C15A11.7a
F26A1.6
F26A1.7
F26A1.8
F28A10.9
T07A5.1
T07D3.4
T07D3.5
T07D3.6
W02B3.4
Y22D7AL.11
F35A5.4
Y40C5A.3b
Y59E9AL.1
