YOR051C
YDR348C
YHR097C
YGR266W
YKL176C
YER026C
YKL217W
YDR072C
YPR201W
YDR277C
YOR047C
YIL099W
YGR196C
YJL107C
YJL108C
YJL054W
YER114C
YAL063C
YAR050W
YHR211W
YHR213W
YKR102W
YKL004W
YGR111W
YEL023C
YMR307W
YBR249C
YDR035W
YHR063C
YBR275C
YFL050C
YKL064W
YOL130W
YOR017W
YIR007W
YPL260W
YLR187W
YNL278W
YLR451W
YIL123W
YNL066W
YLR182W
YDL133W
YLR095C
YLR300W
YOR190W
YPR002W
YMR021C
YBR015C
YDR393W
YGR086C
YPL004C
YGL114W
YBL011W
YKR067W
YIL041W
YBR207W
YOL144W
YGR128C
YDL073W
YMR129W
YIR010W
YGR189C
YOR329C
YMR172W
YDL244W
YFL058W
YJR156C
YNL332W
YDR051C
YER056C
YER060W
YER060W-A
YOL137W
YCR030C
YPL161C
YLR223C
YJL087C
YDR222W
YLR225C
YLR355C
YML099C
YLR203C
YBL007C
YKR064W
YJL159W
YJL160C
YKL163W
YKL164C
YLR423C
YGR282C
YLR226W
YDL086W
YML103C
YLR054C
YPL133C
YDR499W
YKR097W
YDR103W
YHR187W
YHR194W
YKL182W
YPL231W
YIL151C
YKR096W
YIL055C
YMR289W
YJL020C
YKL098W
YMR155W
YDR058C
YNL051W
YMR066W
YOL009C
YLR033W
YDR479C
YMR200W
YDR421W
YOR147W
YOR129C
YBR054W
YDR033W
YNL115C
YFL047W
YER145C
YOR296W
YKL057C
YJR140C
YER147C
YIR023W
YDR346C
YLR084C
YJL156C
YMR163C
YBR163W
YDR195W
YGR143W
YPR159W
YFL048C
YLR080W
YKR066C
YLR014C
YOR155C
YGL186C
YML020W
YPL180W
YLR063W
YDR351W
YHR103W
YBL066C
YDR539W
YDL176W
YCL044C
YNL258C
YOR131C
YCL034W
YCL038C
YNL165W
YIL105C
YNL047C
YCL050C
YDR530C
YDR104C
YBL014C
YNL237W
YPL245W
YMR134W
YMR319C
YJL213W
YJR061W
YKL201C
YJL116C
YKR042W
YJL099W
YKR027W
YJL127C
YLR250W
YMR270C
YER161C
YDR186C
YGR157W
YJL149W
YJR046W
YOR301W
YDR403W
YLR307W
YLR308W
YAL031C
YNL277W
YGR026W
YOR389W
YPL277C
YMR094W
YOR198C
YDR213W
YLR228C
YDR132C
YLR108C
YPR089W
YDR399W
YJR133W
YML115C
YBR225W
YNL279W
YLR256W
YPL050C
YPL269W
YDR150W
YOR080W
YML076C
YPL128C
YIL090W
YNL010W
YDL202W
YHR142W
YBR033W
YKL038W
YNR063W
YGL252C
YMR221C
YGL196W
YLR343W
YMR215W
YOL030W
YOL132W
YDR363W
YMR302C
YGL028C
YLL021W
YPL214C
YOL148C
YBR161W
YPL057C
YML050W
YHR118C
YLR150W
YLR055C
YCL052C
YLR381W
YLR319C
YER022W
YLR278C
YOR322C
YGR237C
YNL103W
YML111W
YMR275C
YNR068C
YNR069C
YDR161W
YDR306C
YER008C
YGR166W
YJL157C
YOR229W
YOR230W
YPL139C
YDR359C
YJR039W
YMR312W
YBR162C
YDR028C
YPL072W
YMR237W
YOR299W
YDR296W
YER033C
YOR073W
YPL248C
YCL014W
YCL061C
YGR089W
YGL197W
YBR131W
YBR130C
YJL055W
YDR089W
YPL066W
YBL085W
YKR037C
YDR239C
YNL091W
YJL171C
YKL112W
YJL117W
YNL152W
YDR384C
YAL053W
YGL139W
YOR365C
YPL221W
YKL046C
YIL130W
YJL206C
YER077C
YHR196W
YJL019W
YPL092W
YML048W
YLL057C
YBR151W
YOL053W
YGL228W
YDR367W
YEL070W
YNR073C
YPL194W
YOR084W
YGL219C
YDR251W
YPL032C
YCL048W
YDR522C
YDR332W
YNR018W
YNL094W
YOR390W
YPL279C
YBL034C
YGR134W
YGR004W
YLR324W
YCR020C
YKL072W
YMR053C
YPR179C
YKL015W
YDR229W
YGR177C
YOR377W
YJR153W
YGR229C
YOR158W
YHL034C
YJR041C
YJL181W
YJR030C
YHR178W
YOR087W
YNL291C
YAL009W
YJL016W
YDL013W
YDR131C
YMR280C
YGR279C
YMR305C
YMR100W
YDL054C
YAL018C
YFL061W
YNL335W
YNL311C
YIL136W
YDR310C
YGL045W
YCL036W
YDR514C
YNL137C
YLR098C
YER124C
YPR155C
YER149C
YMR044W
YFL026W
YHR084W
YNL080C
YPL075W
YJL186W
YLR301W
YJR124C
YKL133C
YMR115W
YDR369C
YGR097W
YPR115W
YBR168W
YBR240C
YLR368W
YMR179W
YBR095C
YOR337W
YNL199C
YJL123C
YDL107W
YPR085C
YOR049C
YDL220C
YNL054W
YDR520C
YML023C
YDR295C
YLR152C
YNL095C
YOR092W
YJR136C
YDR138W
YHR155W
YNL257C
YDL035C
YGR197C
YJR015W
YHR131C
YNL144C
YLR139C
YBR040W
YPL173W
YIR018W
YIL067C
YOR188W
YDL233W
YFR029W
YHL024W
YHL008C
YDL227C
YCR010C
YNR002C
YAL010C
YMR173W
YER185W
YGR213C
YLR046C
YIL140W
YBR238C
YGL107C
YER111C
YDR356W
YHR017W
YHR120W
YLL006W
YML029W
YBR280C
YHR150W
YGR150C
YDR350C
YNL011C
YOR066W
YBR078W
YDR055W
YER080W
YOR195W
YOR118W
YBL005W
YGL013C
YAL004W
YGR198W
YJL089W
YJR078W
YNR039C
YMR119W
YAL056W
YOR371C
YDL237W
YMR087W
YML006C
YPL005W
YJR062C
YDL213C
YMR065W
YPR124W
YFL013C
YKL077W
YEL036C
YFL049W
YER064C
YIL056W
YKR044W
YJR054W
YML047C
YHR151C
YMR257C
YDR458C
YML034W
YBR204C
YNL085W
YMR168C
YCL027W
YJL178C
YJR003C
YGR165W
YJR098C
YJL132W
YIL019W
YNL187W
YAL001C
YKL187C
YLR413W
YEL040W
YLR213C
YDR254W
YFL023W
YIL154C
YFR013W
