9606	0.0	1.0	2.2746	8	1	0.25	0.25	0	0.0918
9606	0.0	1.0	2.1187	7	1	0.29	0.286	0	0.1221
9606	0.0	1.0	1.7846	8	1	0.25	0.25	1	0.4289
9606	0.0	1.0	4.2118	7	2	0.57	0.571	0	0.0095
9606	0.0	1.0	2.4584	8	1	0.25	0.25	0	0.2222
9606	0.0	1.0	4.1751	8	4	1.0	0.417	0	2.67e-05
9606	0.0	1.0	3.5804	8	3	0.75	0.25	0	0.0019
9606	0.0	1.0	1.0309	8	0	0.0	0.0	0	1.0
9606	0.0	1.0	0.7996	8	5	1.25	0.625	0	6.95e-06
9606	0.0	1.0	1.7087	8	2	0.5	0.5	0	0.0197
9606	0.0	1.0	2.7394	9	2	0.44	0.222	0	0.0126
9606	0.0	1.0	2.7512	8	4	1.0	0.625	0	5.05e-05
9606	0.0	1.0	5.2976	8	7	1.75	0.562	0	6.06e-10
9606	0.0	1.0	3.0921	8	14	3.5	0.742	0	0.0
9606	0.0	1.0	3.9218	8	4	1.0	0.417	0	1.93e-05
9606	0.0	1.0	1.5458	8	3	0.75	0.375	0	0.00074
9606	0.0	1.0	2.1449	8	0	0.0	0.0	0	1.0
9606	0.0	1.0	1.6265	6	4	1.33	0.556	0	1.34e-05
9606	0.0	1.0	3.4543	8	2	0.5	0.25	0	0.0053
9606	0.0	1.0	3.1985	8	4	1.0	0.5	0	0.0004
9606	0.0	1.0	1.9722	8	0	0.0	0.0	0	1.0
9606	0.0	1.0	1.0449	7	1	0.29	0.286	0	0.2537
9606	0.0	1.0	2.2284	8	2	0.5	0.25	0	0.0223
9606	0.0	1.0	3.3622	8	4	1.0	0.417	0	5.49e-05
9606	0.0	1.0	3.6988	8	2	0.5	0.5	0	0.0039
9606	0.0	1.0	0.3846	7	2	0.57	0.286	0	0.008
9606	0.0	1.0	3.9357	7	6	1.71	0.571	0	1.52e-09
9606	0.0	1.0	5.5864	8	11	2.75	0.475	0	0.0
9606	0.0	1.0	4.1418	7	1	0.29	0.286	0	0.0492
9606	0.0	1.0	1.3619	8	1	0.25	0.25	0	0.1164
9606	0.0	1.0	0.9341	8	2	0.5	0.5	0	0.0167
9606	0.0	1.0	3.0998	8	3	0.75	0.375	0	0.00014
9606	0.0	1.0	3.5330	8	2	0.5	0.25	0	0.003
9606	0.0	1.0	3.0755	8	5	1.25	0.625	0	9.09e-06
9606	0.0	1.0	1.7853	8	0	0.0	0.0	0	1.0
9606	0.0	1.0	2.2703	8	5	1.25	0.458	0	4.2e-06
9606	0.0	1.0	3.2263	8	6	1.5	0.5	0	1.87e-08
9606	0.0	1.0	2.7607	8	4	1.0	0.417	0	8.14e-05
9606	0.0	1.0	4.5093	8	5	1.25	0.458	0	5.3e-07
9606	0.0	1.0	2.6329	7	3	0.86	0.286	0	0.00064
9606	0.0	1.0	0.9685	8	1	0.25	0.25	0	0.2622
9606	0.0	1.0	1.6275	8	2	0.5	0.25	0	0.011
9606	0.0	1.0	1.7577	8	6	1.5	0.375	1	2.2e-05
9606	0.0	1.0	4.3815	8	5	1.25	0.458	0	7.47e-07
9606	0.0	1.0	4.1700	8	5	1.25	0.417	0	1.12e-05
9606	0.0	1.0	2.5798	8	4	1.0	0.625	0	0.00029
9606	0.0	1.0	1.4861	8	4	1.0	0.417	0	1.61e-06
9606	0.0	1.0	1.5282	7	2	0.57	0.286	0	0.0103
9606	0.0	1.0	1.8637	7	1	0.29	0.286	0	0.1988
9606	0.0	1.0	0.8612	8	1	0.25	0.25	0	0.3249
9606	0.0	1.0	2.1214	7	1	0.29	0.286	0	0.1956
9606	0.0	1.0	1.5911	8	4	1.0	0.417	0	0.00016
9606	0.0	1.0	2.6474	7	1	0.29	0.286	0	0.1337
9606	0.0	1.0	3.3060	9	2	0.44	0.222	0	0.0068
9606	0.0	1.0	1.1089	8	0	0.0	0.0	0	1.0
9606	0.0	1.0	3.6750	8	2	0.5	0.25	0	0.0137
9606	0.0	1.0	1.9069	8	1	0.25	0.25	1	0.4196
9606	0.0	1.0	2.7721	8	8	2.0	0.662	0	2.18e-11
9606	0.0	1.0	2.2516	8	1	0.25	0.25	0	0.0718
9606	0.0	1.0	0.7888	6	1	0.33	0.333	0	0.1124
9606	0.0	1.0	3.5986	8	4	1.0	0.625	0	5.41e-05
9606	0.0	1.0	3.1456	6	1	0.33	0.333	0	0.0436
9606	0.0	1.0	3.2385	6	3	1.0	0.5	0	2.79e-05
9606	0.0	1.0	4.4524	8	6	1.5	0.5	0	1.45e-07
9606	0.0	1.0	2.9540	7	0	0.0	0.0	0	1.0
9606	0.0	1.0	4.3159	8	4	1.0	0.375	0	0.00018
9606	0.0	1.0	2.1704	8	2	0.5	0.25	0	0.0121
9606	0.0	1.0	2.1842	8	1	0.25	0.25	0	0.0969
9606	0.0	1.0	2.3666	8	3	0.75	0.5	0	0.0017
9606	0.0	1.0	1.5963	8	2	0.5	0.5	0	0.0123
9606	0.0	1.0	2.4011	8	0	0.0	0.0	0	1.0
9606	0.0	1.0	2.7978	8	3	0.75	0.5	0	0.0014
9606	0.0	1.0	2.1881	8	4	1.0	0.5	0	3.42e-05
9606	0.0	1.0	2.2873	7	1	0.29	0.286	0	0.0941
9606	0.0	1.0	3.3688	8	4	1.0	0.417	0	5.23e-05
9606	0.0	1.0	3.6096	8	1	0.25	0.25	0	0.1279
9606	0.0	1.0	2.0385	7	0	0.0	0.0	0	1.0
9606	0.0	1.0	3.6826	8	9	2.25	0.633	0	1.17e-10
9606	0.0	1.0	2.1439	8	0	0.0	0.0	0	1.0
