GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_SYNONYMS	GO ASPECT
UniProtKB	P32609	PEP7	GO:0006906		559292	PEP7,VAC1,VPL21,VPS19,VPT19,YDR323C	P
UniProtKB	P32609	PEP7	GO:0006904		559292	PEP7,VAC1,VPL21,VPS19,VPT19,YDR323C	P
UniProtKB	P32609	PEP7	GO:0006896		559292	PEP7,VAC1,VPL21,VPS19,VPT19,YDR323C	P
UniProtKB	P32609	PEP7	GO:0006895		559292	PEP7,VAC1,VPL21,VPS19,VPT19,YDR323C	P
UniProtKB	P32609	PEP7	GO:0006895		559292	PEP7,VAC1,VPL21,VPS19,VPT19,YDR323C	P
UniProtKB	P32613	TCA17	GO:0006888		559292	TCA17,YEL048C,SYGP-ORF36	P
UniProtKB	P32613	TCA17	GO:0034498		559292	TCA17,YEL048C,SYGP-ORF36	P
UniProtKB	P32618	YEL043W	GO:0045056		559292	YEL043W,SYGP-ORF14	P
UniProtKB	P32618	YEL043W	GO:0048211		559292	YEL043W,SYGP-ORF14	P
UniProtKB	P32618	YEL043W	GO:0006888		559292	YEL043W,SYGP-ORF14	P
UniProtKB	P32660	DNF1	GO:0006897		559292	DNF1,YER166W,SYGP-ORF7	P
UniProtKB	P32660	DNF1	GO:0006897		559292	DNF1,YER166W,SYGP-ORF7	P
UniProtKB	P32790	SLA1	GO:0016197		559292	SLA1,YBL007C,YBL0321	P
UniProtKB	P32790	SLA1	GO:0006897		559292	SLA1,YBL007C,YBL0321	P
UniProtKB	P32790	SLA1	GO:0006897		559292	SLA1,YBL007C,YBL0321	P
UniProtKB	P32790	SLA1	GO:0006897		559292	SLA1,YBL007C,YBL0321	P
UniProtKB	P32790	SLA1	GO:0006897		559292	SLA1,YBL007C,YBL0321	P
UniProtKB	P32790	SLA1	GO:0006897		559292	SLA1,YBL007C,YBL0321	P
UniProtKB	P32790	SLA1	GO:0140312		559292	SLA1,YBL007C,YBL0321	F
UniProtKB	P32790	SLA1	GO:0140312		559292	SLA1,YBL007C,YBL0321	F
UniProtKB	P32790	SLA1	GO:0140312		559292	SLA1,YBL007C,YBL0321	F
UniProtKB	P32793	YSC84	GO:0006897		559292	YSC84,LSB4,YHR016C	P
UniProtKB	P32802	EMP70	GO:0016197		559292	EMP70,TMN1,YLR083C,L2385,L9449.11	P
UniProtKB	P32803	EMP24	GO:0006888		559292	EMP24,YGL200C,G1271	P
UniProtKB	P32803	EMP24	GO:0016192		559292	EMP24,YGL200C,G1271	P
UniProtKB	P32803	EMP24	GO:0006888		559292	EMP24,YGL200C,G1271	P
UniProtKB	P32844	SEC6	GO:0006887		559292	SEC6,YIL068C	P
UniProtKB	P32844	SEC6	GO:0006887		559292	SEC6,YIL068C	P
UniProtKB	P32844	SEC6	GO:0006887		559292	SEC6,YIL068C	P
UniProtKB	P32844	SEC6	GO:0006893		559292	SEC6,YIL068C	P
UniProtKB	P32844	SEC6	GO:0006893		559292	SEC6,YIL068C	P
UniProtKB	P32844	SEC6	GO:0006887		559292	SEC6,YIL068C	P
UniProtKB	P32844	SEC6	GO:0090522		559292	SEC6,YIL068C	P
UniProtKB	P32854	PEP12	GO:0048278		559292	PEP12,VPS6,VPT13,YOR036W,OR26.29	P
UniProtKB	P32854	PEP12	GO:0006896		559292	PEP12,VPS6,VPT13,YOR036W,OR26.29	P
UniProtKB	P32854	PEP12	GO:0006906		559292	PEP12,VPS6,VPT13,YOR036W,OR26.29	P
UniProtKB	P32854	PEP12	GO:0016192		559292	PEP12,VPS6,VPT13,YOR036W,OR26.29	P
UniProtKB	P32854	PEP12	GO:0006896		559292	PEP12,VPS6,VPT13,YOR036W,OR26.29	P
