YJL090C
YPR081C
YOR280C
YNL163C
YCL033C
YPL009C
YGL101W
YBR223C
YHR027C
YDR472W
YJR143C
YNL088W
YDR061W
YIL114C
YDR178W
YKL018W
YKL008C
YJR133W
YFR051C
YBR037C
YGL061C
YLR113W
YDL201W
Q0055
YDR175C
YIL035C
YPL103C
YBR239C
YDR068W
YEL029C
YFL018C
YKL040C
YDR162C
YML102W
YMR271C
YLR275W
YPL024W
YGR124W
YDR322C-A
YBR245C
YLL067C
YOL012C
YCR076C
YKL165C
YDR111C
YDR190C
YFR023W
YJL001W
YPL135C-A
YER136W
YLR420W
YFL025C
YDL047W
YDR514C
YBR169C
YFL054C
YGL084C
YNL213C
YDL098C
YOR065W
YJR055W
YDR342C
YIL124W
YAL030W
YJL046W
YHR088W
YCR014C
YER050C
YLR347C
YNR068C
YJL201W
YKL210W
YNL062C
YGR058W
YPL127C
YDL145C
YGR096W
YOR021C
YDR492W
YDL048C
Q0255
YGR094W
YOR220W
YKL112W
YIL169C
YLR371W
YPL076W
YIL093C
YMR109W
YDR428C
YLR092W
YLR332W
YLR399C
YCL001W-A
YBL092W
YJR141W
YLR367W
YER123W
YCR026C
YHR006W
YNL332W
YKR023W
YGR013W
YJR076C
YDL238C
YER079W
YDR379W
YPL155C
YPR147C
YMR162C
YDR123C
YMR143W
YGL221C
YGL162W
YOR141C
YFR003C
YGL040C
YGL238W
YLR018C
YNL287W
YCR063W
YKL110C
YDR398W
YCL050C
YLR411W
YEL051W
YDR493W
YBL059W
YOR209C
YCL009C
YBL074C
YJL210W
YGR036C
YPR113W
YNR018W
YGR273C
YEL077C
YDR408C
YGL059W
YML124C
YDR153C
YBR003W
YHR154W
YML056C
YNL009W
YDR410C
YOR126C
YBR212W
YDR379C-A
YBR278W
YEL020W-A
YHR098C
YEL040W
YJR119C
YJL183W
YHR010W
YKL163W
YGR055W
YGR267C
YOR168W
YGL147C
YNL195C
YGR249W
YNR002C
YEL066W
YHR055C
YPL128C
YKR049C
YER133W
YGL073W
YNL309W
YDR470C
YKL145W
YPL202C
YOR001W
YBR033W
YGL206C
YKL080W
YCL044C
YOR267C
YKR086W
YJR062C
YDR421W
YLR147C
YJR158W
YDL035C
YJR151C
YJR067C
YPL248C
YMR018W
YFR009W
YNL280C
YGR167W
YML043C
YDR043C
YBR017C
YLR218C
YGL203C
YHR113W
YCL037C
YGR218W
YDR285W
YNL071W
YGR142W
YML109W
YAL009W
YGR200C
YBL105C
YDR064W
YEL019C
YDR424C
YDR524C
YDR336W
YDR018C
YBL091C-A
YHR204W
YBL042C
YPR004C
YNR052C
YMR179W
YLR407W
YJR160C
YOR261C
YPL254W
YOR212W
YBR045C
YER157W
YER099C
YCR020C-A
YAL007C
YJL161W
YHL009C
YOL091W
YJR140C
YDR179C
YHR023W
YGL164C
YKL129C
YLR210W
YHR166C
YHR122W
YPL164C
YFL059W
YNL022C
YJR132W
YNL125C
YOL086C
YLR105C
YGR068C
YDR143C
YDL052C
YGL174W
YOL020W
YOL007C
YER114C
YOR256C
YMR040W
YOR026W
YDL142C
YDL230W
YNL279W
YPL265W
YAL040C
YDR237W
YPR095C
YGL234W
YPL250W-A
YLR141W
YLR309C
YBR126C
YDR508C
YLR068W
YOR108W
