ENSDARP00000126974
ENSDARP00000134892
ENSDARP00000114871
ENSDARP00000151640
ENSDARP00000116237
ENSDARP00000103969
ENSDARP00000149709
ENSDARP00000014840
ENSDARP00000114382
ENSDARP00000139219
ENSDARP00000067896
ENSDARP00000157109
ENSDARP00000144566
ENSDARP00000032986
ENSDARP00000153243
ENSDARP00000143583
ENSDARP00000081879
ENSDARP00000152801
ENSDARP00000061584
ENSDARP00000117885
ENSDARP00000121560
ENSDARP00000124842
ENSDARP00000095292
ENSDARP00000037263
ENSDARP00000036480
ENSDARP00000119740
ENSDARP00000025170
ENSDARP00000139191
ENSDARP00000009428
ENSDARP00000153178
ENSDARP00000073910
ENSDARP00000038993
ENSDARP00000076900
ENSDARP00000124579
ENSDARP00000102920
ENSDARP00000006586
ENSDARP00000126922
ENSDARP00000154223
ENSDARP00000138087
ENSDARP00000137812
ENSDARP00000118022
ENSDARP00000131115
ENSDARP00000054366
ENSDARP00000148451
ENSDARP00000142138
ENSDARP00000119767
ENSDARP00000117059
ENSDARP00000132360
ENSDARP00000107727
ENSDARP00000150735
ENSDARP00000135616
ENSDARP00000007626
ENSDARP00000121330
ENSDARP00000081474
ENSDARP00000021545
ENSDARP00000132041
ENSDARP00000143177
ENSDARP00000130517
ENSDARP00000134727
ENSDARP00000013993
ENSDARP00000063080
ENSDARP00000056983
ENSDARP00000116667
ENSDARP00000094648
ENSDARP00000136053
ENSDARP00000003282
ENSDARP00000148346
ENSDARP00000028707
ENSDARP00000148083
ENSDARP00000109990
ENSDARP00000063815
ENSDARP00000141051
ENSDARP00000129138
ENSDARP00000128310
ENSDARP00000122276
ENSDARP00000078444
ENSDARP00000129485
ENSDARP00000043090
ENSDARP00000098845
ENSDARP00000093996
ENSDARP00000118137
ENSDARP00000135865
ENSDARP00000083982
ENSDARP00000077797
ENSDARP00000103727
ENSDARP00000118767
ENSDARP00000066935
ENSDARP00000109517
ENSDARP00000123040
ENSDARP00000140261
ENSDARP00000102804
ENSDARP00000057304
ENSDARP00000140799
ENSDARP00000143587
ENSDARP00000004882
ENSDARP00000127918
ENSDARP00000151656
ENSDARP00000092882
ENSDARP00000040361
ENSDARP00000074379
ENSDARP00000101295
ENSDARP00000112264
ENSDARP00000099551
ENSDARP00000114142
ENSDARP00000094030
ENSDARP00000122906
ENSDARP00000140252
ENSDARP00000144401
ENSDARP00000142630
ENSDARP00000028785
ENSDARP00000042894
ENSDARP00000097031
ENSDARP00000104151
ENSDARP00000007963
ENSDARP00000121712
ENSDARP00000139189
ENSDARP00000016769
ENSDARP00000153701
ENSDARP00000092740
ENSDARP00000129795
ENSDARP00000090555
ENSDARP00000110495
ENSDARP00000138863
ENSDARP00000112794
ENSDARP00000114567
ENSDARP00000134212
ENSDARP00000124833
ENSDARP00000090567
ENSDARP00000105292
ENSDARP00000124947
ENSDARP00000047679
ENSDARP00000103939
ENSDARP00000149692
ENSDARP00000059499
ENSDARP00000143044
ENSDARP00000130652
ENSDARP00000141504
ENSDARP00000039257
ENSDARP00000130466
ENSDARP00000114571
ENSDARP00000008476
ENSDARP00000113388
ENSDARP00000054890
ENSDARP00000045678
ENSDARP00000020679
ENSDARP00000023232
ENSDARP00000127670
ENSDARP00000091115
ENSDARP00000099404
ENSDARP00000097192
ENSDARP00000119064
ENSDARP00000106043
ENSDARP00000117903
ENSDARP00000105551
ENSDARP00000052392
ENSDARP00000132851
ENSDARP00000084158
ENSDARP00000042258
ENSDARP00000068850
ENSDARP00000084075
ENSDARP00000070472
ENSDARP00000103460
ENSDARP00000123971
ENSDARP00000151883
ENSDARP00000096269
ENSDARP00000091424
ENSDARP00000108792
ENSDARP00000150169
ENSDARP00000089610
ENSDARP00000129023
ENSDARP00000143232
ENSDARP00000140980
ENSDARP00000105587
ENSDARP00000040190
ENSDARP00000076958
ENSDARP00000112101
ENSDARP00000131386
ENSDARP00000114392
ENSDARP00000149043
ENSDARP00000141714
ENSDARP00000135151
ENSDARP00000106333
ENSDARP00000070420
ENSDARP00000078505
ENSDARP00000141349
ENSDARP00000068795
ENSDARP00000074624
ENSDARP00000102374
ENSDARP00000055674
ENSDARP00000121072
ENSDARP00000129082
ENSDARP00000105237
ENSDARP00000143071
ENSDARP00000101025
ENSDARP00000140879
ENSDARP00000128565
ENSDARP00000074163
ENSDARP00000128606
ENSDARP00000136027
ENSDARP00000025042
ENSDARP00000085810
ENSDARP00000122726
ENSDARP00000142540
ENSDARP00000000069
ENSDARP00000110955
ENSDARP00000073630
ENSDARP00000045478
ENSDARP00000143171
ENSDARP00000101762
ENSDARP00000125422
ENSDARP00000064804
ENSDARP00000128186
ENSDARP00000130505
ENSDARP00000109970
ENSDARP00000103124
