GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_SYNONYMS	GO ASPECT
UniProtKB	A0A024R100	PEX26	GO:0045046		9606	PEX26,hCG_1817601	P
UniProtKB	A0A024R4E7	PEX11B	GO:0016559		9606	PEX11B,hCG_37371	P
UniProtKB	A0A024R561	HRASLS3	GO:0007031		9606	HRASLS3,hCG_2039981	P
UniProtKB	A0A024RD09	PEX6	GO:0007031		9606	PEX6,hCG_17647	P
UniProtKB	A0A075B773	PEX12	GO:0016558		9606	PEX12	P
UniProtKB	A0A075B773	PEX12	GO:0007031		9606	PEX12	P
UniProtKB	A0A0C4DG33	PEX1	GO:0006625		9606	PEX1,hCG_19541	P
UniProtKB	A0A0C4DG33	PEX1	GO:0007031		9606	PEX1,hCG_19541	P
UniProtKB	A0A0C4DG33	PEX1	GO:0007031		9606	PEX1,hCG_19541	P
UniProtKB	A0A0S2Z497	PEX19	GO:0007031		9606	PEX19	P
UniProtKB	A0A0S2Z4H1	PEX5	GO:0016558		9606	PEX5	P
UniProtKB	A0A0S2Z4H1	PEX5	GO:0007031		9606	PEX5	P
UniProtKB	A0A0S2Z5M7	PEX26	GO:0045046		9606	PEX26	P
UniProtKB	A0A3B3IRZ1	A0A3B3IRZ1	GO:0007031		9606		P
UniProtKB	A0A7I2V2J8	PEX7	GO:0016558		9606	PEX7	P
UniProtKB	A0A7I2V2W7	PEX7	GO:0016558		9606	PEX7	P
UniProtKB	A0PJ54	PEX12	GO:0016558		9606	PEX12	P
UniProtKB	B2R8C6	PEX11A	GO:0016559		9606	PEX11A,hCG_26632	P
UniProtKB	B2R8C6	PEX11A	GO:0016557		9606	PEX11A,hCG_26632	P
UniProtKB	B3KSS3	B3KSS3	GO:0016559		9606		P
UniProtKB	B4DDQ3	DNM1L	GO:0016559		9606	DNM1L	P
UniProtKB	B4DER6	B4DER6	GO:0006625		9606		P
UniProtKB	B4DEY5	B4DEY5	GO:0006625		9606		P
UniProtKB	B4DMF6	B4DMF6	GO:0016559		9606		P
UniProtKB	B4DPZ9	DNM1L	GO:0016559		9606	DNM1L	P
