GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_SYNONYMS	GO ASPECT
UniProtKB	A0A023T695	A0A023T695	GO:0007283		9606		P
UniProtKB	A0A024QYX4	hCG_1820611	GO:0030317		9606	hCG_1820611	P
UniProtKB	A0A024QZ08	IFT20	GO:0007283		9606	IFT20,hCG_31823	P
UniProtKB	A0A024QZC4	P8	GO:0008584		9606	P8,hCG_1745228	P
UniProtKB	A0A024QZH5	SPHK2	GO:0007565		9606	SPHK2,hCG_15274	P
UniProtKB	A0A024QZJ5	ACF	GO:0007566		9606	ACF,hCG_1811530	P
UniProtKB	A0A024QZN8	HERC4	GO:0007283		9606	HERC4,hCG_2024473	P
UniProtKB	A0A024QZQ1	SIRT1	GO:0001542		9606	SIRT1,hCG_32306	P
UniProtKB	A0A024QZQ1	SIRT1	GO:0007283		9606	SIRT1,hCG_32306	P
UniProtKB	A0A024QZU6	FST	GO:0008585		9606	FST,hCG_40892	P
UniProtKB	A0A024QZU6	FST	GO:0007276		9606	FST,hCG_40892	P
UniProtKB	A0A024R0H7	WDR77	GO:0060528		9606	WDR77,hCG_39991	P
UniProtKB	A0A024R0H7	WDR77	GO:0060767		9606	WDR77,hCG_39991	P
UniProtKB	A0A024R0I2	SYCP1	GO:0007130		9606	SYCP1,hCG_38460	P
UniProtKB	A0A024R0I2	SYCP1	GO:0051026		9606	SYCP1,hCG_38460	P
UniProtKB	A0A024R0I2	SYCP1	GO:0051878		9606	SYCP1,hCG_38460	P
UniProtKB	A0A024R0I2	SYCP1	GO:0035092		9606	SYCP1,hCG_38460	P
UniProtKB	A0A024R0I2	SYCP1	GO:0000711		9606	SYCP1,hCG_38460	P
UniProtKB	A0A024R0I2	SYCP1	GO:0007129		9606	SYCP1,hCG_38460	P
UniProtKB	A0A024R0I2	SYCP1	GO:0007130		9606	SYCP1,hCG_38460	P
UniProtKB	A0A024R0I2	SYCP1	GO:0007131		9606	SYCP1,hCG_38460	P
UniProtKB	A0A024R0I2	SYCP1	GO:0007283		9606	SYCP1,hCG_38460	P
UniProtKB	A0A024R0L6	PAFAH1B3	GO:0007283		9606	PAFAH1B3,hCG_21889	P
UniProtKB	A0A024R0P6	FOSB	GO:0007565		9606	FOSB,hCG_20725	P
