GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_SYNONYMS	GO ASPECT
UniProtKB	A0A024R219	ZA20D2	GO:0003016		9606	ZA20D2,hCG_28056	P
UniProtKB	A0A024R4U6	TTLL1	GO:0120197		9606	TTLL1,hCG_1734398	P
UniProtKB	A0A024R7I7	RAB3A	GO:0003016		9606	RAB3A,hCG_36862	P
UniProtKB	A0A087X0R0	KDM6A	GO:0003016		9606	KDM6A	P
UniProtKB	A0A0S2Z5J4	AP3B1	GO:0003016		9606	AP3B1	P
UniProtKB	A0A6F7YIA8	ECEL1	GO:0003016		9606	ECEL1	P
UniProtKB	D0PNI1	YWHAZ	GO:0003016		9606	YWHAZ,HEL-S-3,HEL-S-93,HEL4,hCG_2009146	P
UniProtKB	O00203	AP3B1	GO:0003016		9606	AP3B1,ADTB3A	P
UniProtKB	O76080	ZFAND5	GO:0003016		9606	ZFAND5,ZA20D2,ZNF216	P
UniProtKB	O95672	ECEL1	GO:0003016		9606	ECEL1,XCE,UNQ2431/PRO4991	P
UniProtKB	O95672	ECEL1	GO:0003016		9606	ECEL1,XCE,UNQ2431/PRO4991	P
UniProtKB	O95922	TTLL1	GO:0120197		9606	TTLL1,C22orf7	P
UniProtKB	P10253	GAA	GO:0002086		9606	GAA	P
UniProtKB	P10253	GAA	GO:0002086		9606	GAA	P
UniProtKB	P11766	ADH5	GO:0003016		9606	ADH5,ADHX,FDH	P
UniProtKB	P20336	RAB3A	GO:0003016		9606	RAB3A	P
UniProtKB	P20719	HOXA5	GO:0003016		9606	HOXA5,HOX1C	P
UniProtKB	P35916	FLT4	GO:0003016		9606	FLT4,VEGFR3	P
UniProtKB	P63104	YWHAZ	GO:0003016		9606	YWHAZ	P
UniProtKB	P63316	TNNC1	GO:0002086		9606	TNNC1,TNNC	P
UniProtKB	Q12870	TCF15	GO:0003016		9606	TCF15,BHLHA40,BHLHEC2	P
UniProtKB	Q4G0U5	CFAP221	GO:0120197		9606	CFAP221,PCDP1	P
UniProtKB	Q6FH91	TNNC1	GO:0002086		9606	TNNC1,hCG_42573	P
UniProtKB	Q6IRT1	ADH5	GO:0003016		9606	ADH5,HEL-S-60p,hCG_41483	P
UniProtKB	Q6UXH8	CCBE1	GO:0003016		9606	CCBE1,KIAA1983,UNQ1921/PRO4395	P
UniProtKB	Q6ZWH5	NEK10	GO:0120197		9606	NEK10	P
UniProtKB	Q8N0X2	SPAG16	GO:0120197		9606	SPAG16,PF20	P
UniProtKB	Q8N2I9	STK40	GO:0003016		9606	STK40,SGK495,SHIK	P
UniProtKB	Q8NDM7	CFAP43	GO:0120197		9606	CFAP43,C10orf79,WDR96	P
UniProtKB	Q96N23	CFAP54	GO:0120197		9606	CFAP54,C12orf55,C12orf63	P
UniProtKB	Q96NG3	ODAD4	GO:0120197		9606	ODAD4,TTC25	P
UniProtKB	Q99608	NDN	GO:0003016		9606	NDN	P
UniProtKB	Q9NYC9	DNAH9	GO:0120197		9606	DNAH9,DNAH17L,DNEL1,KIAA0357	P
UniProtKB	Q9NZV5	SELENON	GO:0003016		9606	SELENON,SELN,SEPN1	P
UniProtKB	Q9Y219	JAG2	GO:0003016		9606	JAG2	P
UniProtKB	X5D982	NDN	GO:0003016		9606	NDN	P
